MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,WindGustDirX,WindGustDirY,WindDir9amX,WindDir9amY,WindDir3pmX,WindDir3pmY
10.0,18.1,0.0,3.4,8.8,30.0,6.0,17.0,76.0,60.0,1032.5,1030.3,4.905263157894737,5.058201058201059,12.2,17.3,0.0,0.0,-0.9960878351411849,0.08836868610400142,1.0,0.0,0.8268371568000089,-0.562441389066343
6.2,17.9,0.0,5.420289231739704,7.656391491519734,17.0,2.0,0.0,98.0,69.0,1015.5,1013.9,4.585565349855053,4.580450105286398,10.0,17.1,0.0,0.0,0.36731936773024515,-0.9300948780045254,0.5253219888177297,0.8509035245341184,0.0,0.0
17.4,22.6,0.0,4.7715355805243425,6.994023904382472,61.0,20.0,24.0,62.0,75.0,1022.5,1019.2,8.0,8.0,20.2,19.2,0.0,1.0,0.5253219888177297,0.8509035245341184,0.5253219888177297,0.8509035245341184,-0.04422762066183891,-0.999021480034635
23.9,33.3,0.0,6.4,10.4,37.0,13.0,26.0,68.0,54.0,1011.6,1008.4,5.0,6.0,28.9,31.7,0.0,0.0,-0.7739002269689113,0.6333075387972795,0.13233681049883228,0.9912048065798491,0.6669156003948422,0.7451332645574127
24.3,30.2,19.6,6.114015151515149,7.7908366533864495,43.0,17.0,22.0,83.0,76.0,1016.3,1013.1,2.0,4.257352941176471,26.9,28.5,1.0,0.2809364548494983,-0.9960878351411849,0.08836868610400142,-0.5984600690578581,-0.8011526357338306,-0.9960878351411849,0.08836868610400142
22.5,29.1,0.0,6.6,10.3,31.0,13.0,24.0,71.0,67.0,1015.9,1013.1,4.0,3.0,27.0,28.1,0.0,0.0,0.5253219888177297,0.8509035245341184,0.8268371568000089,-0.562441389066343,0.5253219888177297,0.8509035245341184
16.4,19.5,0.0,5.6,0.7,31.0,13.0,13.0,76.0,83.0,1015.8,1013.0,7.0,7.0,17.6,18.6,0.0,0.0,0.5253219888177297,0.8509035245341184,-0.04422762066183891,-0.999021480034635,0.5253219888177297,0.8509035245341184
22.3,30.6,7.6,5.8,6.4,26.0,2.0,15.0,72.0,66.0,1013.7,1010.6,6.0,6.0,27.2,28.8,1.0,0.0,1.0,0.0,-0.4480736161291701,0.8939966636005579,-0.8733046400935156,-0.4871745124605095
15.0,24.9,11.2,4.8,12.3,42.46186440677966,13.0,19.0,64.0,55.0,1009.9,1007.2,2.0,1.0,19.8,21.4,1.0,0.0,0.0,0.0,0.13233681049883228,0.9912048065798491,-0.4480736161291701,0.8939966636005579
11.5,28.4,0.0,3.983870967741934,7.656391491519734,39.0,15.0,20.0,48.0,31.0,1016.0,1014.3,1.0,5.0,17.6,27.4,0.0,0.0,-0.5984600690578581,-0.8011526357338306,0.9129390999389944,0.4080958218391594,0.9129390999389944,0.4080958218391594
11.5,14.2,9.8,1.6,8.152416356877332,57.0,15.0,26.0,93.0,69.0,1005.9,1008.0,8.0,8.0,13.1,12.7,1.0,1.0,0.36731936773024515,-0.9300948780045254,0.6669156003948422,0.7451332645574127,-0.7739002269689113,0.6333075387972795
24.8,31.8,2.8,4.4,8.0,35.0,13.0,11.0,65.0,66.0,1010.0,1007.2,7.0,5.0,29.1,29.1,1.0,1.0,-0.8733046400935156,-0.4871745124605095,-0.04422762066183891,-0.999021480034635,-0.8733046400935156,-0.4871745124605095
10.1,27.5,0.0,8.0,13.6,37.0,17.0,11.0,50.0,14.0,1020.5,1017.0,2.0,1.0,15.7,25.7,0.0,0.0,0.6669156003948422,0.7451332645574127,0.8268371568000089,-0.562441389066343,0.6669156003948422,0.7451332645574127
