Rainfall,Sunshine,WindGustSpeed,Humidity3pm,Pressure3pm,Cloud9am,RainTomorrow
2.2,6.477812105930442,33.0,99.0,1015.6,5.218032641978995,1.0
0.0,4.7,15.0,66.0,1022.4,8.0,1.0
13.0,6.477812105930442,54.0,85.0,1024.8,5.218032641978995,1.0
29.6,6.381410256410261,35.0,83.0,1002.8,7.0,1.0
4.4,0.5,57.0,95.0,1002.3,8.0,1.0
0.0,6.477812105930442,37.0,30.0,1014.1593321006692,5.218032641978995,0.0
2.0,0.1,26.0,92.0,1013.3,8.0,1.0
3.8,2.4,41.93301203424867,77.0,1013.2,8.0,1.0
0.2,1.2,39.0,100.0,1023.7,4.0,1.0
0.0,6.477812105930442,17.0,51.0,1020.7,5.218032641978995,0.0
0.6,1.4,44.0,82.0,1008.5,7.0,1.0
3.6,0.0,28.0,86.0,1019.1,8.0,1.0
0.0,11.4,37.0,57.0,1020.9,1.0,0.0
1.2,0.8,30.0,66.0,1017.0,7.0,0.0
4.6,4.8,41.93301203424867,69.0,1021.6,4.0,1.0
0.0,6.293103448275862,44.586776859504134,60.0,1010.1,8.0,0.0
1.8,0.9,39.0,50.0,1011.4,7.0,1.0
0.0,6.2,30.0,48.0,1030.1,6.0,0.0
0.0,10.8,35.0,20.0,1020.4,3.0,0.0
19.2,1.0,44.0,76.0,1024.5,8.0,1.0
0.2,8.8,52.0,58.0,1016.7,4.0,0.0
2.2552845528455285,0.7,26.0,52.0,1018.0,5.766355140186916,1.0
0.0,6.5,50.0,48.0,1010.0,1.0,1.0
13.8,4.3,48.0,80.0,1007.4,5.228813559322034,1.0
0.0,13.6,56.0,13.0,1002.6,0.0,0.0
0.0,9.5,24.0,39.0,1018.8,1.0,0.0
0.0,6.477812105930442,59.0,73.0,1014.3,5.218032641978995,1.0
0.0,2.7,20.0,59.0,1015.6,7.0,1.0
0.0,6.477812105930442,35.0,15.0,1014.7,5.218032641978995,0.0
4.6,6.4,70.0,77.0,1016.8,7.0,1.0
0.0,1.6,31.0,69.0,1004.4,6.0,1.0
0.0,6.477812105930442,33.0,33.0,1014.1593321006692,5.218032641978995,0.0
0.0,6.477812105930442,26.0,64.0,1016.2,2.0,0.0
0.0,6.3,37.0,71.0,1016.5,7.0,0.0
0.0,6.477812105930442,43.0,36.0,1013.5,0.0,0.0
0.0,6.477812105930442,65.0,82.0,1002.6,5.218032641978995,1.0
8.6,0.2,41.93301203424867,88.0,1029.2,8.0,0.0
0.9,6.0095238095238095,48.0,92.0,1025.9,6.0,1.0
0.0,10.8,22.0,36.0,1018.2,4.0,0.0
0.4,5.0,54.0,51.0,1013.9,7.0,1.0
0.0,6.477812105930442,28.0,54.0,1024.5,6.7368421052631575,0.0
0.4,6.477812105930442,52.0,61.0,1020.6,5.218032641978995,1.0
0.6,7.1,48.0,34.0,1017.4,7.0,0.0
0.5,6.477812105930442,26.0,82.0,1011.6022727272722,8.0,1.0
0.0,6.4,48.0,56.0,1011.2,8.0,1.0
21.4,9.2,31.0,61.0,1007.8,7.0,1.0
0.0,12.2,31.0,20.0,1009.2,7.0,0.0
1.2,6.477812105930442,19.0,80.0,1019.7,5.218032641978995,0.0
5.2,5.5,43.0,49.0,1014.0,7.0,0.0
1.6,10.3,24.0,38.0,1014.2,1.0,0.0
0.4,6.477812105930442,54.0,100.0,1004.4,7.0,1.0
3.0,6.477812105930442,50.02547770700637,65.0,1014.1593321006692,5.218032641978995,0.0
1.0,0.6,39.0,74.0,1018.9,7.0,1.0
0.0,6.477812105930442,61.0,55.0,1016.5,5.218032641978995,1.0
0.0,6.477812105930442,31.0,39.0,1010.5,5.866666666666666,0.0
0.0,6.477812105930442,44.0,53.0,1014.7,8.0,0.0
0.2,9.114285714285712,59.0,40.0,1010.2,7.0,1.0
0.0,11.2,48.0,8.0,1013.8,0.0,0.0
1.8,8.3,37.0,58.0,1026.1,5.218032641978995,0.0
0.0,12.8,33.0,14.0,1011.4,2.0,0.0
13.0,6.477812105930442,69.0,82.0,1023.5,5.218032641978995,1.0
0.0,9.4,44.0,23.0,1011.2,5.0,0.0
0.0,0.5,65.0,74.0,1010.5,7.0,1.0
0.0,5.97037037037037,37.0,8.0,1009.8,6.0,0.0
0.0,0.1,37.0,63.0,1011.8,8.0,1.0
0.2,0.0,35.0,65.0,1017.6,7.0,1.0
3.4,6.477812105930442,39.0,64.0,1027.9,5.218032641978995,1.0
0.0,6.477812105930442,39.0,68.0,1023.0,5.0,1.0
0.0,9.1,70.0,10.0,1011.1,2.0,0.0
0.0,9.5,31.0,50.0,1011.9,0.0,0.0
0.0,5.8,39.0,64.0,1003.6,7.0,1.0
0.0,7.3,24.0,76.0,1016.1,5.218032641978995,0.0
1.0,4.4,70.0,72.0,1012.9,7.0,1.0
